新增开关:
序号,安装位置
1,10KV高桥121线007杆
2,10KV高桥121线017杆
3,10KV高桥121线034杆
4,10KV高桥121线041杆

优先级,安装位置
1,10KV高桥121线041杆
2,10KV高桥121线007杆
3,10KV高桥121线034杆
4,10KV高桥121线017杆

优化前后的可靠性指标ASAI:
优化前,优化后
0.999734,0.999753

年平均减少停电时间(小时)
0.161392
